UNIQUE-ID	NAME
TU0-14262	['asnC', 'mioC']
TU00322	potFGHI
TU0-13145	['rluE', 'nudJ']
TU0-13909	mscL
TU0-45262	['yciSM', 'pyrF', 'yciH']
TU0-12804	yabI
TU0-8733	smrB
TU0-13212	['ycjMNOPQRSTUV', 'ymjB', 'ompG']
TU0-1549	yhjH
TU0-14341	yraM
TU0-8365	bcsABZC
TU0-4928	gntT
TU00244	baeSR
TU0-8799	fimZ
TU0-13833	ygiV
TU0-2443	treR
TU0-44214	btuE
TU0-8516	sraG
TU-8417	yhjJ
TU00304	mreBCD
TU0-1424	ftsZ
TU0-13893	yhcF
TU0-13128	dinI
TU0-12786	yjtD
TU0-45247	eptB
TU0-14320	yfhG
TU0-14816	['pgk', 'fbaA']
TU0-13190	yciCB
TU0-8345	['hypBCDE', 'fhlA']
TU0-4761	csrB
TU00228	gntKU
TU0-8778	crcB
TU0-13817	yghSR
TU0-2021	psiE
TU0-44199	frlR
TU0-8499	rfaH
TU0-14221	yjjI
TU00285	hisLGDCBHAFI
TU0-13112	torS
TU0-13876	yraR
TU0-45231	gadBC
TU0-1187	['rrsG', 'gltW', 'rrlG', 'rrfG']
TU0-13516	yehDCBA
TU0-14301	yadN
TU0-14791	mqsRA
TU0-13172	dsbB
TU0-8326	yoeA
TU0-45287	C0293
TU00211	soxS
TU0-8758	ygiZ
TU0-13799	argO
TU0-194009	narUZYWV
TU0-42700	glpQ
TU0-8482	ydiU
TU490	hupB
TU00268	['fdoGHI', 'fdhE']
TU0-14205	yjiS
TU0-13859	alx
TU0-13095	['elfDCG', 'ycbUVF']
TU0-45145	hicAB
TU0-45217	['dinB', 'yafNOP']
TU0-1061	['srkA', 'dsbA']
TU0-13499	['wcaCDEF', 'gmd', 'fcl', 'gmm', 'wcaI', 'cpsBG', 'wcaJ', 'wzxC']
TU0-14276	modABC
TU0-14762	['ycgZ', 'ymgA', 'ariR', 'ymgC']
TU0-13154	mcrA
TU0-8244	yebB
TU0-45270	eno
TU00195	pncB
TU0-8741	yfiE
TU0-13781	['ygfK', 'ssnA']
TU0-1741	ribA
TU0-42666	ymdB
TU0-8455	['ybgIJKL', 'nei']
TU403	glpR
TU00252	cobUST
TU0-14188	yjhV
TU0-13842	ygiL
TU0-13078	trxB
TU0-44223	sokX
TU0-45202	rhaSR
TU-8431	rnlB
TU0-13480	insC3D3CD3
TU0-1425	ftsZ
TU0-14730	uvrB
TU0-13136	['hinT', 'ycfL', 'lpoB', 'thiK', 'nagZ', 'ycfP']
TU0-8147	ansP
TU0-45254	aceEF
TU-8390	infA
TU0-1501	flxA
TU00179	leuLABCD
TU0-8354	bcsBZ
TU0-13764	ygeI
TU00236	['yjeFE', 'amiB', 'mutL', 'miaA', 'hfq', 'hflXKC']
TU0-42616	thyA
TU0-13825	yqhG
TU348	arcA
TU0-44207	paaJ
TU0-14169	ridA
TU0-1423	ftsZ
TU0-13061	ybiV
TU0-13120	ycdXY
TU0-45186	pqiABC
TU0-45239	pfkA
TU0-13461	yodC
TU0-14801	rdcAB
TU0-14692	pstS
TU0-8336	fbp
TU0-7901	mglAC
TU00220	trpR
TU00163	['fepA', 'entD']
TU0-13808	yggM
TU0-13746	['rppH', 'ptsP']
TU0-4404	puuP
TU0-42589	relA
TU523	mazEFG
TU261	['smtA', 'mukFEB']
TU0-14213	yjjP
TU0-14153	yjfIJ
TU0-13104	tusE
TU0-13044	ybhJ
TU0-45224	csgBAC
TU0-45170	glk
TU0-13507	insE5EF5F5
TU0-13442	yecDE
TU0-14772	rraB
TU0-14672	groL
TU0-8267	cho
TU0-7746	yfdX
TU00203	prs
TU00147	nupC
TU0-13789	yqfA
TU0-13729	ygcRQ
TU0-42689	yihUTS
TU0-42565	yejG
TU462	dadAX
TU122	putP
TU0-14196	nanS
TU0-14133	rdcAB
TU0-13086	ycaL
TU0-13028	ybfQ
TU0-4521	gntR
TU0-13426	msrC
TU0-13489	yeeED
TU0-14649	rpoS
TU0-14744	rfaYZ
TU0-7521	sthA
TU0-8202	yggE
TU00130	uhpT
TU-8399	yecR
TU0-13712	ygaY
TU00187	malI
TU0-42537	acpP
TU0-13773	ygeW
TU00516	glyU
TU0-42640	['rseD', 'rpoE', 'rseABC']
TU0-14117	yjbLM
TU362	['ybgA', 'phr']
TU0-13010	['leuS', 'lptE', 'holA', 'nadD', 'cobC']
TU0-14177	yjgR
TU0-13410	dmlA
TU0-13070	rybB
TU0-14631	pykF
TU0-45194	arrS
TU0-7201	hcaR
TU0-13470	yodB
TU00114	atoDAEB
TU0-14702	['tolC', 'ygiBC']
TU0-13694	yfjPQ
TU0-8082	['epd', 'pgk', 'fbaA']
TU0-42513	ivbL
TU-8381	spy
TU0-8715	yebQ
TU00171	gcvA
TU00500	argW
TU0-13756	kduI
TU0-14094	eptC
TU0-42600	panD
TU0-12994	ybdO
